Country,Code,ContinentCode,Year,Capital investment billion USD,Household consumption billion USD,Exports of goods and services billion USD,Imports of goods and services billion USD,Government spending billion USD
China,CHN,AS,1960,23.64,30.13,2.57,2.64,7.43
China,CHN,AS,1961,11.42,33.17,1.94,1.75,7.16
China,CHN,AS,1962,7.43,34.07,1.91,1.37,5.99
China,CHN,AS,1963,11.03,34.29,2.03,1.45,6.86
China,CHN,AS,1964,14.54,36.14,2.25,1.71,7.57
China,CHN,AS,1965,19.09,38.65,2.56,2.25,8.3
China,CHN,AS,1966,23.36,41.48,2.68,2.48,9.27
China,CHN,AS,1967,17.39,43.93,2.39,2.17,7.95
China,CHN,AS,1968,17.67,43.73,2.34,2.07,7.88
China,CHN,AS,1969,19.93,45.81,2.43,1.92,9.36
China,CHN,AS,1970,30.44,49.02,2.31,2.28,10.15
China,CHN,AS,1971,33.57,51.26,2.78,2.13,11.82
China,CHN,AS,1972,35.53,59.43,3.69,2.85,13.65
China,CHN,AS,1973,45.66,72.01,5.88,5.21,15.9
China,CHN,AS,1974,47.88,74.8,7.11,7.79,17.37
China,CHN,AS,1975,57.26,82.19,7.69,7.93,19.13
China,CHN,AS,1976,51.14,81.82,6.94,6.66,19.51
China,CHN,AS,1977,59.27,88.7,7.52,7.15,21.94
China,CHN,AS,1978,56.23,71.51,6.81,7.62,19.29
China,CHN,AS,1979,64.71,87.56,9.2,10.56,24.57
China,CHN,AS,1980,66.15,97.37,11.3,12.45,26.28
China,CHN,AS,1981,64.54,104.27,14.59,14.59,25.82
China,CHN,AS,1982,65.59,109.43,16.32,12.85,27.09
China,CHN,AS,1983,73.65,123.41,16.62,14.67,32.19
China,CHN,AS,1984,89.37,131.77,20.52,20.47,39.18
China,CHN,AS,1985,120.9,157.4,25.77,38.26,43.99
China,CHN,AS,1986,113.47,153.44,26.22,33.62,41.66
China,CHN,AS,1987,101.88,135.6,28.44,28.19,35.78
China,CHN,AS,1988,122.06,154.98,34.41,37.52,39.04
China,CHN,AS,1989,129.4,177.69,31.39,35.15,45.86
China,CHN,AS,1990,123.26,180.4,44.93,35.18,49.28
China,CHN,AS,1991,135.09,183.7,51.51,40.75,53.68
China,CHN,AS,1992,166.8,193.28,57.87,53.54,61.65
China,CHN,AS,1993,192.49,195.66,53.36,61.83,63.83
China,CHN,AS,1994,226.01,248.8,104.61,97.25,79.52
China,CHN,AS,1995,285.26,336.06,131.86,119.9,97.75
China,CHN,AS,1996,324.27,404.66,154.81,137.26,114
China,CHN,AS,1997,341.59,441.33,187.45,144.62,132.25
China,CHN,AS,1998,358.25,468.28,188.75,144.91,153.8
China,CHN,AS,1999,373.16,505.49,198.7,168.06,179.04
China,CHN,AS,2000,406.68,566.08,253.09,224.31,203.97
China,CHN,AS,2001,476.04,609.69,272.06,243.97,219.84
China,CHN,AS,2002,531.66,660.47,333,295.62,236.32
China,CHN,AS,2003,657.81,709.07,447.96,412.14,254.26
China,CHN,AS,2004,818.26,794.08,607.36,556.18,285.98
China,CHN,AS,2005,922.3,904.94,773.34,648.71,338.27
China,CHN,AS,2006,1098.38,1038.98,991.73,782.81,407.88
China,CHN,AS,2007,1437.25,1291.24,1258.05,950.02,519.3
China,CHN,AS,2008,1941.98,1621.24,1497.88,1149.04,665.52
China,CHN,AS,2009,2313.94,1802.29,1262.66,1042.53,752.65
China,CHN,AS,2010,2833.96,2089.51,1654.82,1432.42,887.94
China,CHN,AS,2011,3523.56,2637.03,2006.31,1825.41,1150.77
China,CHN,AS,2012,3944.03,3019.24,2175.07,1943.21,1344.34
China,CHN,AS,2013,4440.6,3429.4,2354.26,2119.39,1520.18
China,CHN,AS,2014,4800.35,3845.38,2462.83,2241.28,1656.93
China,CHN,AS,2015,4782.45,4178.29,2362.1,2003.26,1793.95
China,CHN,AS,2016,4788.92,4344.48,2199.97,1944.49,1838.19
China,CHN,AS,2017,5295.15,4744.8,2424.22,2208.52,2009.67
China,CHN,AS,2018,6085.06,5352.58,2655.61,2564.12,2297.64
China,CHN,AS,2019,6176.24,5604.61,2628.94,2496.15,2394.82
China,CHN,AS,2020,6369.59,5610.76,2729.88,2374.74,2516.03
China,CHN,AS,2021,7687.8,6792.01,3554.11,3093.28,2817.08
China,CHN,AS,2022,,,3714.25,3137.59,
